class,description
00A, General and miscellaneous specic topics
00B, Conference proceedings and collections of articles
01A, History of mathematics and mathematicians
03A, Philosophical aspects of logic and foundations
03B, General logic
03C, Model theory
03D, Computability and recursion theory
03E, Set theory
03F, Proof theory and constructive mathematics
03G, Algebraic logic
03H, Nonstandard models
05A, Enumerative combinatorics
05B, Designs and congurations
05C, Graph theory
05D, Extremal combinatorics
05E, Algebraic combinatorics
06A, Ordered sets
06B, Lattices
06C," Modular lattices, complemented lattices"
06D, Distributive lattices
06E, Boolean algebras (Boolean rings)
06F, Ordered structures
08A, Algebraic structures
08B, Varieties
08C, Other classes of algebras
11A, Elementary number theory
11B, Sequences and sets
11C, Polynomials and matrices
11D, Diophantine equations
11E, Forms and linear algebraic groups
11F, Discontinuous groups and automorphic forms
11G, Arithmetic algebraic geometry (Diophantine geometry)
11H, Geometry of numbers
11J," Diophantine approximation, transcendental number theory"
11K, Probabilistic theory: distribution modulo 1; metric theory of algorithms
11L, Exponential sums and character sums
11M, Zeta and L-functions: analytic theory
11N, Multiplicative number theory
11P, Additive number theory; partitions
11R, Algebraic number theory: global elds
11S, Algebraic number theory: local elds
11T, Finite elds and commutative rings (number-theoretic aspects)
11U, Connections of number theory and logic
11Y, Computational number theory
11Z, Miscellaneous applications of number theory
12D, Real and complex elds
12E, General eld theory
12F, Field extensions
12G, Homological methods (eld theory)
12H, Dierential and dierence algebra
12J, Topological elds
12K, Generalizations of elds
12L, Connections between eld theory and logic
13A, General commutative ring theory
13B, Commutative ring extensions and related topics
13C, Theory of modules and ideals in commutative rings
13D, Homological methods in commutative ring theory
13E," Chain conditions, niteness conditions in commutative ring theory"
13F, Arithmetic rings and other special commutative rings
13G, Integral domains
13H, Local rings and semilocal rings
13J, Topological rings and modules
13L, Applications of logic to commutative algebra
13M, Finite commutative rings
13N, Dierential algebra
13P, Computational aspects and applications of commutative rings
14A, Foundations of algebraic geometry
14B, Local theory in algebraic geometry
14C, Cycles and subschemes
14D," Families, brations in algebraic geometry"
14E, Birational geometry
14F, (Co)homology theory in algebraic geometry
14G, Arithmetic problems in algebraic geometry; Diophantine geometry
14H, Curves in algebraic geometry
14J, Surfaces and higher-dimensional varieties
